test_time_second,voltage_volt,current_ampere,step_index,discharging_capacity_ah,charging_capacity_ah,ambient_temperature_celsius
0.020,2.9215,0.0000,1,0,0,0
15.020,2.9215,0.0000,1,0,0,0
30.020,2.9214,0.0000,1,0,0,0
45.020,2.9214,0.0000,1,0,0,0
60.020,2.9213,0.0000,1,0,0,0
75.020,2.9213,0.0000,1,0,0,0
90.020,2.9212,0.0000,1,0,0,0
105.020,2.9211,0.0000,1,0,0,0
120.020,2.9210,0.0000,1,0,0,0
135.020,2.9210,0.0000,1,0,0,0
150.020,2.9209,0.0000,1,0,0,0
165.020,2.9208,0.0000,1,0,0,0
180.020,2.9207,0.0000,1,0,0,0
195.020,2.9207,0.0000,1,0,0,0
210.020,2.9206,0.0000,1,0,0,0
225.020,2.9205,0.0000,1,0,0,0
240.020,2.9204,0.0000,1,0,0,0
255.020,2.9203,0.0000,1,0,0,0
270.020,2.9203,0.0000,1,0,0,0
285.020,2.9202,0.0000,1,0,0,0
300.020,2.9201,0.0000,1,0,0,0
315.020,2.9200,0.0000,1,0,0,0
330.020,2.9199,0.0000,1,0,0,0
345.020,2.9198,0.0000,1,0,0,0
360.020,2.9197,0.0000,1,0,0,0
375.020,2.9196,0.0000,1,0,0,0
390.020,2.9195,0.0000,1,0,0,0
405.020,2.9194,0.0000,1,0,0,0
420.020,2.9194,0.0000,1,0,0,0
435.020,2.9192,0.0000,1,0,0,0
450.020,2.9192,0.0000,1,0,0,0
465.020,2.9190,0.0000,1,0,0,0
480.020,2.9189,0.0000,1,0,0,0
495.020,2.9188,0.0000,1,0,0,0
510.020,2.9187,0.0000,1,0,0,0
525.020,2.9186,0.0000,1,0,0,0
540.020,2.9185,0.0000,1,0,0,0
555.020,2.9184,0.0000,1,0,0,0
570.020,2.9183,0.0000,1,0,0,0
585.020,2.9182,0.0000,1,0,0,0
600.020,2.9181,0.0000,1,0,0,0
615.020,2.9180,0.0000,1,0,0,0
630.020,2.9179,0.0000,1,0,0,0
645.020,2.9178,0.0000,1,0,0,0
660.020,2.9176,0.0000,1,0,0,0
675.020,2.9175,0.0000,1,0,0,0
690.020,2.9174,0.0000,1,0,0,0
705.020,2.9173,0.0000,1,0,0,0
720.020,2.9172,0.0000,1,0,0,0
735.020,2.9171,0.0000,1,0,0,0
750.020,2.9169,0.0000,1,0,0,0
765.020,2.9168,0.0000,1,0,0,0
780.020,2.9167,0.0000,1,0,0,0
795.020,2.9166,0.0000,1,0,0,0
810.020,2.9164,0.0000,1,0,0,0
825.020,2.9163,0.0000,1,0,0,0
840.020,2.9162,0.0000,1,0,0,0
855.020,2.9161,0.0000,1,0,0,0
870.020,2.9159,0.0000,1,0,0,0
885.020,2.9158,0.0000,1,0,0,0
900.020,2.9157,0.0000,1,0,0,0
915.020,2.9156,0.0000,1,0,0,0
930.020,2.9154,0.0000,1,0,0,0
945.020,2.9153,0.0000,1,0,0,0
960.020,2.9152,0.0000,1,0,0,0
975.020,2.9150,0.0000,1,0,0,0
990.020,2.9149,0.0000,1,0,0,0
1005.020,2.9148,0.0000,1,0,0,0
1020.020,2.9146,0.0000,1,0,0,0
1035.020,2.9145,0.0000,1,0,0,0
