test_time_second,voltage_volt,current_ampere,cycle_count,step_index,power_watt,temperature_t1_celsius,temperature_t2_celsius,temperature_t3_celsius
0.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
0.010,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
10.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
20.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
30.000,3.8132,0.0000,1,1,0.0000,26.5,26.4,26.5
40.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
50.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
60.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.5
70.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
80.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
90.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
100.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
110.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
120.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
130.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
140.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.6
150.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
160.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
170.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
180.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.6
190.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
200.000,3.8132,0.0000,1,1,0.0000,26.5,26.4,26.6
210.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
220.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
230.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.5
240.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
250.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
260.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
270.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
280.000,3.8132,0.0000,1,1,0.0000,26.5,26.4,26.6
290.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.6
300.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
310.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.5
320.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.5
330.000,3.8132,0.0000,1,1,0.0000,26.5,26.4,26.6
340.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.6
350.000,3.8133,0.0000,1,1,0.0000,26.4,26.4,26.6
360.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.6
370.000,3.8133,0.0000,1,1,0.0000,26.5,26.4,26.5
380.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
390.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.5
400.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
410.000,3.8133,0.0000,1,1,0.0000,26.5,26.5,26.6
420.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.6
430.000,3.8133,0.0000,1,1,0.0000,26.6,26.5,26.5
